"Group","Variable","Units","Description"
"Misc.", "PILOT TRANSMITTING", "bool", "Whether or not the pilot is transmitting."
"Misc.", "RADIO HEIGHT", "feet", "Radar altitude"
"Misc.", "TRANSPONDER AVAILABLE", "bool", "True if a transponder is available"
"Misc.", "TRANSPONDER IDENT", "bool", "This can set the Ident transponder using the KEY_XPNDR_IDENT_SET, KEY_XPNDR_IDENT_TOGGLE, KEY_XPNDR_IDENT_ON or KEY_XPNDR_IDENT_OFF Event IDs (see XPNDR (Transponder) section for more information). When set to true, it will automatically turn false after 18 seconds."
"Misc.", "TRANSPONDER STATE", "enum", "Transponder State"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT AIRSPEED ACQUISITION", "bool", "Currently not used within the simulation."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT AIRSPEED HOLD", "bool", "Airspeed hold active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT AIRSPEED HOLD CURRENT", "bool", "Currently not used within the simulation."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT AIRSPEED HOLD VAR", "knots", "Selected airspeed"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT AIRSPEED MAX CALCULATED", "knots", "The autopilot maximum calculated airspeed."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT AIRSPEED MIN CALCULATED", "knots", "The autopilot minimum calculated airspeed."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT ALTITUDE ARM", "bool", "Whether or not the autopilot is in Altitude Arm mode"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT ALTITUDE LOCK", "bool", "Altitude hole active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT ALTITUDE LOCK VAR", "feet", "Selected altitude"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT ALTITUDE MANUALLY TUNABLE", "bool", "Whether or not the autopilot altitude is manually tunable or not."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT ALTITUDE SLOT INDEX", "number", "Index of the managed references"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT APPROACH ACTIVE", "bool", "When true, the autopilot is currently flying the approach Flight Plan (the last legs)."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT APPROACH ARM", "bool", "Returns true when the autopilot is active on the approach, once it reaches the adequate condition (in most cases, once it reaches the second-last waypoint of the flightplan)."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT APPROACH CAPTURED", "bool", "Returns true when the lateral NAV mode is engaged and the angular deviation with the current tuned navigation frequency is less than 5°."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT APPROACH HOLD", "bool", "Approach mode active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT APPROACH IS LOCALIZER", "bool", "Returns true if the current approach is using a localizer."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT ATTITUDE HOLD", "bool", "Attitude hold active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT AVAILABLE", "bool", "Available flag"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT AVIONICS MANAGED", "bool", "Avionics managed autopilot state mode active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT BACKCOURSE HOLD", "bool", "Back course mode active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT BANK HOLD", "bool", "Bank Mode Active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT BANK HOLD REF", "degrees", "The current bank hold bank reference."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT CRUISE SPEED HOLD", "bool", "Currently not used within the simulation."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT DEFAULT PITCH MODE", "enum", "The current default pitch mode of the autopilot as configured in the plane configuration with the parameter default_pitch_mode."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT DEFAULT ROLL MODE", "enum", "The current default roll mode of the autopilot as configured in the plane configuration with the parameter default_bank_mode."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT DISENGAGED", "bool", "Whether or not the autopilot has been disengaged."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT FLIGHT DIRECTOR ACTIVE", "bool", "Flight director active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT FLIGHT DIRECTOR BANK", "radians", "Reference bank angle"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT FLIGHT DIRECTOR BANK EX1", "radians", "Raw reference bank angle"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT FLIGHT DIRECTOR PITCH", "radians", "Reference pitch angle"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT FLIGHT DIRECTOR PITCH EX1", "radians", "Raw reference pitch angle"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT FLIGHT LEVEL CHANGE", "bool", "Boolean, toggles the autopilot Flight Level Change mode"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT GLIDESLOPE ACTIVE", "bool", "When true, the autopilot is receiving a signal from the runway beacon and is following the slope to reach the ground."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT GLIDESLOPE ARM", "bool", "Returns true when the autopilot is active on the glide slope."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT GLIDESLOPE HOLD", "bool", "GS hold active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT HEADING LOCK", "bool", "Heading mode active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT HEADING LOCK DIR", "degrees", "Selected heading"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT HEADING MANUALLY TUNABLE", "bool", "Whether or not the autopilot heading is manually tunable or not."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT HEADING SLOT INDEX", "number", "Index of the managed references"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT MACH HOLD", "bool", "Mach hold active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT MACH HOLD VAR", "number", "Selected mach"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT MANAGED INDEX", "number", "Index of the managed references"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT MANAGED SPEED IN MACH", "bool", "Is the Managed Speed in Mach"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT MANAGED THROTTLE ACTIVE", "bool", "Managed Autothrottle active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT MASTER", "bool", "On/off flag"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT MAX BANK", "radians", "True if autopilot max bank applied"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT MAX BANK ID", "number", "Integer, the index of the current Max Bank setting of the autopilot."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT MAX SPEED HOLD", "bool", "Currently not used within the simulation."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT NAV1 LOCK", "bool", "True if autopilot nav1 lock applied"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT NAV SELECTED", "number", "Index of Nav radio selected"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT PITCH HOLD", "bool", "Set to True if the autopilot pitch hold has is engaged."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT PITCH HOLD REF", "radians", "Current reference pitch"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT RPM HOLD", "bool", "True if autopilot rpm hold applied"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT RPM HOLD VAR", "number", "Selected rpm"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT RPM SLOT INDEX", "number", "Index of the managed references"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT SPEED SETTING", "knots", "Currently not used within the simulation."
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT SPEED SLOT INDEX", "number", "Index of the managed references"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT TAKEOFF POWER ACTIVE", "bool", "Takeoff / Go Around power mode active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT THROTTLE ARM", "bool", "Autothrottle armed"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT THROTTLE MAX THRUST", "percent", "Autothrottle max thrust"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT VERTICAL HOLD", "bool", "True if autopilot vertical hold applied"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT VERTICAL HOLD VAR", "feet per minute", "Selected vertical speed"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT VS SLOT INDEX", "number", "Index of the managed references"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT WING LEVELER", "bool", "Wing leveler active"
"AIRCRAFT AUTOPILOT/ASSISTANT VARIABLES", "AUTOPILOT YAW DAMPER", "bool", "Yaw damper active"
"Aircraft Assistance", "ASSISTANCE LANDING ENABLED", "bool", "Returns whether landing assistance has been enabled or not."
"Aircraft Assistance", "ASSISTANCE TAKEOFF ENABLED", "bool", "Returns whether takeoff assistance has been enabled or not."
"AI Aircraft / Pilot", "AI ANTISTALL STATE", "enum", "The current state of the AI anti-stall system."
"AI Aircraft / Pilot", "AI AUTOTRIM ACTIVE", "bool", "Returns whether the AI auto-trim system is enabled or not."
"AI Aircraft / Pilot", "AI AUTOTRIM ACTIVE AGAINST PLAYER", "bool", "Returns whether the AI auto-trim system is enabled or not for AI controlled aircraft."
"AI Aircraft / Pilot", "AI CONTROLS", "bool", "Returns whether the AI control system is enabled or not."
"AI Aircraft / Pilot", "AI CURSOR MODE ACTIVE", "bool", "Returns whether the AI cursor mode is active or not."
"AI Aircraft / Pilot", "ATTITUDE BARS POSITION", "percent over 100", "AI reference pitch reference bars"
"AI Aircraft / Pilot", "ATTITUDE CAGE", "bool", "AI caged state"
"AI Aircraft / Pilot", "ATTITUDE INDICATOR BANK DEGREES", "radians", "AI bank indication"
"AI Aircraft / Pilot", "ATTITUDE INDICATOR PITCH DEGREES", "radians", "AI pitch indication"
"AI Aircraft / Pilot", "DELEGATE CONTROLS TO AI", "bool", "Returns whether the AI control system is active or not."
"Flight Assistant", "FLY ASSISTANT CANCEL DESTINATION", "number", "When set with any value this will cancel the current flight assistant destination."
"Flight Assistant", "FLY ASSISTANT CANCEL DESTINATION DISPLAY", "number", "When set with any value this will cancel the display of the current flight assistant destination."
"Flight Assistant", "FLY ASSISTANT COM AI LOCKED", "bool", "Returns true when the copilot AI control is active and therefore COM AI is locked on active too."
"Flight Assistant", "FLY ASSISTANT HAVE DESTINATION", "bool", "Returns true when a destination has been set in the flight assistant."
"Flight Assistant", "FLY ASSISTANT NEAREST CATEGORY", "enum", "Selected category"
"Flight Assistant", "FLY ASSISTANT NEAREST COUNT", "number", "Number of elements in this category"
"Flight Assistant", "FLY ASSISTANT NEAREST SELECTED", "number", "Returns the index of the currently selected element."
"Flight Assistant", "FLY ASSISTANT RIBBONS ACTIVE", "bool", "Returns true when both ribbon assistances are active (taxi and landing), and can also be used to set them."
"Flight Assistant", "FLY ASSISTANT SET AS DESTINATION", "number", "When set with any value, it will set the selected element as the current destination."
"Flight Assistant", "FLY ASSISTANT STALL SPEED", "knots", "Returns the flight assistant stall speed."
"Flight Assistant", "FLY ASSISTANT TAKEOFF SPEED", "knots", "Returns the flight assistant takeoff speed."
"Flight Assistant", "FLY ASSISTANT TAKEOFF SPEED ESTIMATED", "knots", "Can be set to override the estimated takeoff speed"
"Ailerons", "AILERON AVERAGE DEFLECTION", "radians", "Angle deflection."
"Ailerons", "AILERON LEFT DEFLECTION", "radians", "Angle deflection."
"Ailerons", "AILERON LEFT DEFLECTION PCT", "percent over 100", "Percent deflection."
"Ailerons", "AILERON POSITION", "position", "Percent aileron input left/right."
"Ailerons", "AILERON RIGHT DEFLECTION", "radians", "Angle deflection."
"Ailerons", "AILERON RIGHT DEFLECTION PCT", "percent over 100", "Percent deflection."
"Ailerons", "AILERON TRIM", "radians", "Angle deflection."
"Ailerons", "AILERON TRIM DISABLED", "bool", "Whether or not the Aileron Trim has been disabled."
"Ailerons", "AILERON TRIM PCT", "percent over 100", "The trim position of the ailerons. Zero is fully retracted."
"Elevator", "ELEVATOR DEFLECTION", "radians", "Angle deflection."
"Elevator", "ELEVATOR DEFLECTION PCT", "percent over 100", "Percent deflection."
"Elevator", "ELEVATOR POSITION", "position", "Percent elevator input deflection."
"Elevator", "ELEVATOR TRIM DISABLED", "bool", "Whether or not the Elevator Trim has been disabled."
"Elevator", "ELEVATOR TRIM INDICATOR", "position", "Percent elevator trim (for indication)."
"Elevator", "ELEVATOR TRIM NEUTRAL", "radians", "Elevator trim neutral."
"Elevator", "ELEVATOR TRIM PCT", "percent over 100", "Percent elevator trim."
"Elevator", "ELEVATOR TRIM POSITION", "radians", "Elevator trim deflection."
"Elevator", "ELEVON DEFLECTION", "radians", "Elevon deflection."
"Flaps", "FLAP DAMAGE BY SPEED", "bool", "True if flaps are damaged by excessive speed."
"Flaps", "FLAP POSITION SET", "position", "Set the position of the flaps control."
"Flaps", "FLAP SPEED EXCEEDED", "bool", "True if safe speed limit for flaps exceeded."
"Flaps", "FLAPS AVAILABLE", "bool", "True if flaps available."
"Flaps", "FLAPS EFFECTIVE HANDLE INDEX", "number", "This returns the effective flaps handle index, after some of the conditions have potentially forced the state to change."
"Flaps", "FLAPS HANDLE INDEX", "number", "Index of current flap position."
"Flaps", "FLAPS HANDLE PERCENT", "percent over 100", "Percent flap handle extended."
"Flaps", "FLAPS NUM HANDLE POSITIONS", "number", "Number of available flap positions."
"Flaps", "LEADING EDGE FLAPS LEFT ANGLE", "radians", "Angle left leading edge flap extended. Use LEADING_EDGE_FLAPS_LEFT_PERCENT to set a value."
"Flaps", "LEADING EDGE FLAPS LEFT INDEX", "number", "Index of left leading edge flap position."
"Flaps", "LEADING EDGE FLAPS LEFT PERCENT", "percent over 100", "Percent left leading edge flap extended."
"Flaps", "LEADING EDGE FLAPS RIGHT ANGLE", "radians", "Angle right leading edge flap extended. Use LEADING_EDGE_FLAPS_RIGHT_PERCENT to set a value."
"Flaps", "LEADING EDGE FLAPS RIGHT INDEX", "number", "Index of right leading edge flap position."
"Flaps", "LEADING EDGE FLAPS RIGHT PERCENT", "percent over 100", "Percent right leading edge flap extended."
"Flaps", "TRAILING EDGE FLAPS LEFT ANGLE", "radians", "Angle left trailing edge flap extended. Use TRAILING_EDGE_FLAPS_LEFT_PERCENT to set a value."
"Flaps", "TRAILING EDGE FLAPS LEFT INDEX", "number", "Index of left trailing edge flap position."
"Flaps", "TRAILING EDGE FLAPS LEFT PERCENT", "percent over 100", "Percent left trailing edge flap extended."
"Flaps", "TRAILING EDGE FLAPS RIGHT ANGLE", "radians", "Angle right trailing edge flap extended. Use TRAILING_EDGE_FLAPS_RIGHT_PERCENT to set a value."
"Flaps", "TRAILING EDGE FLAPS RIGHT INDEX", "number", "Index of right trailing edge flap position."
"Flaps", "TRAILING EDGE FLAPS RIGHT PERCENT", "percent over 100", "Percent right trailing edge flap extended."
"Fly By Wire", "FLY BY WIRE ALPHA PROTECTION", "bool", "Returns true if the fly-by-wire alpha protection is enabled or false otherwise."
